Game_Number,Player_White,Player_Black,Time_Control,Who_won,Date,Game
1,"Ding, Liren","Abdusattorov, Nodirbek",Rapid,W,2022.08.19,1. c4 {[%clk 0:10:01]}  e6 {[%clk 0:09:53]} 2. Nc3 {[%clk 0:10:02]}  d5 {[%clk 0:09:55]} 3. d4 {[%clk 0:10:03]}  Nf6 {[%clk 0:09:56]} 4. cxd5 {[%clk 0:10:04]}  exd5 {[%clk 0:09:57]} 5. Bg5 {[%clk 0:10:06]}  c6 {[%clk 0:09:57]} 6. e3 {[%clk 0:10:07]}  h6 {[%clk 0:09:57]} 7. Bh4 {[%clk 0:10:07]}  Be7 {[%clk 0:09:59]} 8. Bd3 {[%clk 0:10:08]}  O-O {[%clk 0:10:00]} 9. Nge2 {[%clk 0:10:07]}  Nbd7 {[%clk 0:09:59]} 10. O-O {[%clk 0:10:08]}  Nh5 {[%clk 0:10:00]} 11. Bxe7 {[%clk 0:10:07]}  Qxe7 {[%clk 0:10:02]} 12. Qd2 {[%clk 0:10:03]}  Re8 {[%clk 0:09:56]} 13. Rae1 {[%clk 0:10:02]}  Nb6 {[%clk 0:09:45]} 14. Nf4 {[%clk 0:09:13]}  Nf6 {[%clk 0:09:22]} 15. f3 {[%clk 0:09:03]}  c5 {[%clk 0:09:11]} 16. g4 {[%clk 0:08:20]}  Be6 {[%clk 0:08:23]} 17. h4 {[%clk 0:08:17]}  Nh7 {[%clk 0:08:20]} 18. Qh2 {[%clk 0:07:15]}  cxd4 {[%clk 0:07:57]} 19. exd4 {[%clk 0:07:14]}  Qf6 {[%clk 0:07:59]} 20. Re5 {[%clk 0:06:50]}  g6 {[%clk 0:07:34]} 21. Rfe1 {[%clk 0:06:12]}  Bd7 {[%clk 0:07:31]} 22. Ncxd5 {[%clk 0:05:12]}  Qd6 {[%clk 0:07:01]} 23. Nxg6 {[%clk 0:04:39]}  Rxe5 {[%clk 0:06:20]} 24. Rxe5 {[%clk 0:04:41]}  Be6 {[%clk 0:05:09]} 25. Nge7+ {[%clk 0:04:30]}  Kh8 {[%clk 0:05:10]} 26. Nf5 {[%clk 0:04:19]}  Qc6 {[%clk 0:04:51]} 27. Nxb6 {[%clk 0:03:35]}  axb6 {[%clk 0:04:12]} 28. Qf4 {[%clk 0:03:36]}  Bxf5 {[%clk 0:03:59]} 29. Qxf5 {[%clk 0:03:31]}  Nf6 {[%clk 0:03:57]} 30. g5 {[%clk 0:03:27]} 1-0
2,"Abdusattorov, Nodirbek","Ding, Liren",Rapid,B,2022.08.19,1. e4 {[%clk 0:10:02]}  e5 {[%clk 0:10:01]} 2. Nf3 {[%clk 0:10:03]}  Nc6 {[%clk 0:10:03]} 3. Bc4 {[%clk 0:10:04]}  Nf6 {[%clk 0:10:04]} 4. d3 {[%clk 0:10:06]}  Bc5 {[%clk 0:10:04]} 5. Nc3 {[%clk 0:10:06]}  d6 {[%clk 0:09:51]} 6. Na4 {[%clk 0:10:05]}  Bb6 {[%clk 0:09:52]} 7. a3 {[%clk 0:10:04]}  h6 {[%clk 0:09:46]} 8. O-O {[%clk 0:10:03]}  O-O {[%clk 0:09:48]} 9. Re1 {[%clk 0:09:53]}  Re8 {[%clk 0:09:43]} 10. b4 {[%clk 0:09:46]}  Ne7 {[%clk 0:09:34]} 11. Nxb6 {[%clk 0:09:40]}  axb6 {[%clk 0:09:35]} 12. Nh4 {[%clk 0:09:18]}  Bg4 {[%clk 0:08:22]} 13. Qd2 {[%clk 0:08:48]}  Qd7 {[%clk 0:08:17]} 14. f4 {[%clk 0:07:55]}  exf4 {[%clk 0:08:16]} 15. Qxf4 {[%clk 0:07:56]}  d5 {[%clk 0:08:16]} 16. Bb3 {[%clk 0:07:57]}  dxe4 {[%clk 0:06:28]} 17. dxe4 {[%clk 0:07:57]}  Qd4+ {[%clk 0:06:29]} 18. Be3 {[%clk 0:07:55]}  Qxe4 {[%clk 0:06:31]} 19. Qf2 {[%clk 0:07:16]}  Qc6 {[%clk 0:04:51]} 20. Bd4 {[%clk 0:07:17]}  b5 {[%clk 0:04:41]} 21. h3 {[%clk 0:06:21]}  Bd7 {[%clk 0:04:40]} 22. Re3 {[%clk 0:05:58]}  Ned5 {[%clk 0:04:26]} 23. Rg3 {[%clk 0:05:57]}  Nh5 {[%clk 0:03:29]} 24. Qf3 {[%clk 0:04:57]}  Ndf6 {[%clk 0:02:18]} 25. Qxc6 {[%clk 0:04:04]}  Bxc6 {[%clk 0:02:14]} 26. Rc3 {[%clk 0:03:30]}  Rad8 {[%clk 0:02:04]} 27. Bxf6 {[%clk 0:02:59]}  Nxf6 {[%clk 0:02:04]} 28. Rf1 {[%clk 0:03:01]}  Re5 {[%clk 0:01:25]} 29. Ng6 {[%clk 0:02:40]}  Re2 {[%clk 0:01:17]} 30. Rg3 {[%clk 0:02:41]}  Rdd2 {[%clk 0:00:56]} 31. Nf4 {[%clk 0:02:07]}  Re5 {[%clk 0:00:53]} 32. h4 {[%clk 0:01:33]}  Kf8 {[%clk 0:00:52]} 33. Nd3 {[%clk 0:01:17]}  Ree2 {[%clk 0:00:51]} 34. Nf4 {[%clk 0:01:19]}  Re5 {[%clk 0:00:53]} 35. Rc3 {[%clk 0:01:16]}  Rf5 {[%clk 0:00:42]} 36. Re3 {[%clk 0:00:45]}  g5 {[%clk 0:00:35]} 37. hxg5 {[%clk 0:00:33]}  hxg5 {[%clk 0:00:37]} 38. Re2 {[%clk 0:00:31]}  Rxe2 {[%clk 0:00:35]} 39. Nxe2 {[%clk 0:00:32]}  Rxf1+ {[%clk 0:00:37]} 40. Kxf1 {[%clk 0:00:34]}  Ng4 {[%clk 0:00:36]} 41. Nd4 {[%clk 0:00:34]}  Ke7 {[%clk 0:00:33]} 42. g3 {[%clk 0:00:30]}  Bd7 {[%clk 0:00:29]} 43. Ke2 {[%clk 0:00:29]}  f5 {[%clk 0:00:30]} 44. c4 {[%clk 0:00:28]}  bxc4 {[%clk 0:00:31]} 45. Bxc4 {[%clk 0:00:30]}  Ne5 {[%clk 0:00:33]} 46. Bb3 {[%clk 0:00:31]}  f4 {[%clk 0:00:33]} 47. gxf4 {[%clk 0:00:33]}  gxf4 {[%clk 0:00:35]} 48. a4 {[%clk 0:00:34]}  Kd6 {[%clk 0:00:35]} 49. a5 {[%clk 0:00:25]}  c5 {[%clk 0:00:36]} 50. bxc5+ {[%clk 0:00:26]}  Kxc5 {[%clk 0:00:38]} 51. Ne6+ {[%clk 0:00:28]}  Kb4 {[%clk 0:00:36]} 52. Bd5 {[%clk 0:00:27]}  Bxe6 {[%clk 0:00:37]} 53. Bxe6 {[%clk 0:00:28]}  Kxa5 {[%clk 0:00:38]} 0-1
3,"Abdusattorov, Nodirbek","Ding, Liren",Rapid,B,2022.08.19,1. e4 {[%clk 0:10:02]}  e5 {[%clk 0:10:01]} 2. Nf3 {[%clk 0:10:03]}  Nc6 {[%clk 0:10:03]} 3. Bc4 {[%clk 0:10:04]}  Nf6 {[%clk 0:10:04]} 4. d3 {[%clk 0:10:06]}  Bc5 {[%clk 0:10:04]} 5. Nc3 {[%clk 0:10:06]}  d6 {[%clk 0:09:51]} 6. Na4 {[%clk 0:10:05]}  Bb6 {[%clk 0:09:52]} 7. a3 {[%clk 0:10:04]}  h6 {[%clk 0:09:46]} 8. O-O {[%clk 0:10:03]}  O-O {[%clk 0:09:48]} 9. Re1 {[%clk 0:09:53]}  Re8 {[%clk 0:09:43]} 10. b4 {[%clk 0:09:46]}  Ne7 {[%clk 0:09:34]} 11. Nxb6 {[%clk 0:09:40]}  axb6 {[%clk 0:09:35]} 12. Nh4 {[%clk 0:09:18]}  Bg4 {[%clk 0:08:22]} 13. Qd2 {[%clk 0:08:48]}  Qd7 {[%clk 0:08:17]} 14. f4 {[%clk 0:07:55]}  exf4 {[%clk 0:08:16]} 15. Qxf4 {[%clk 0:07:56]}  d5 {[%clk 0:08:16]} 16. Bb3 {[%clk 0:07:57]}  dxe4 {[%clk 0:06:28]} 17. dxe4 {[%clk 0:07:57]}  Qd4+ {[%clk 0:06:29]} 18. Be3 {[%clk 0:07:55]}  Qxe4 {[%clk 0:06:31]} 19. Qf2 {[%clk 0:07:16]}  Qc6 {[%clk 0:04:51]} 20. Bd4 {[%clk 0:07:17]}  b5 {[%clk 0:04:41]} 21. h3 {[%clk 0:06:21]}  Bd7 {[%clk 0:04:40]} 22. Re3 {[%clk 0:05:58]}  Ned5 {[%clk 0:04:26]} 23. Rg3 {[%clk 0:05:57]}  Nh5 {[%clk 0:03:29]} 24. Qf3 {[%clk 0:04:57]}  Ndf6 {[%clk 0:02:18]} 25. Qxc6 {[%clk 0:04:04]}  Bxc6 {[%clk 0:02:14]} 26. Rc3 {[%clk 0:03:30]}  Rad8 {[%clk 0:02:04]} 27. Bxf6 {[%clk 0:02:59]}  Nxf6 {[%clk 0:02:04]} 28. Rf1 {[%clk 0:03:01]}  Re5 {[%clk 0:01:25]} 29. Ng6 {[%clk 0:02:40]}  Re2 {[%clk 0:01:17]} 30. Rg3 {[%clk 0:02:41]}  Rdd2 {[%clk 0:00:56]} 31. Nf4 {[%clk 0:02:07]}  Re5 {[%clk 0:00:53]} 32. h4 {[%clk 0:01:33]}  Kf8 {[%clk 0:00:52]} 33. Nd3 {[%clk 0:01:17]}  Ree2 {[%clk 0:00:51]} 34. Nf4 {[%clk 0:01:19]}  Re5 {[%clk 0:00:53]} 35. Rc3 {[%clk 0:01:16]}  Rf5 {[%clk 0:00:42]} 36. Re3 {[%clk 0:00:45]}  g5 {[%clk 0:00:35]} 37. hxg5 {[%clk 0:00:33]}  hxg5 {[%clk 0:00:37]} 38. Re2 {[%clk 0:00:31]}  Rxe2 {[%clk 0:00:35]} 39. Nxe2 {[%clk 0:00:32]}  Rxf1+ {[%clk 0:00:37]} 40. Kxf1 {[%clk 0:00:34]}  Ng4 {[%clk 0:00:36]} 41. Nd4 {[%clk 0:00:34]}  Ke7 {[%clk 0:00:33]} 42. g3 {[%clk 0:00:30]}  Bd7 {[%clk 0:00:29]} 43. Ke2 {[%clk 0:00:29]}  f5 {[%clk 0:00:30]} 44. c4 {[%clk 0:00:28]}  bxc4 {[%clk 0:00:31]} 45. Bxc4 {[%clk 0:00:30]}  Ne5 {[%clk 0:00:33]} 46. Bb3 {[%clk 0:00:31]}  f4 {[%clk 0:00:33]} 47. gxf4 {[%clk 0:00:33]}  gxf4 {[%clk 0:00:35]} 48. a4 {[%clk 0:00:34]}  Kd6 {[%clk 0:00:35]} 49. a5 {[%clk 0:00:25]}  c5 {[%clk 0:00:36]} 50. bxc5+ {[%clk 0:00:26]}  Kxc5 {[%clk 0:00:38]} 51. Ne6+ {[%clk 0:00:28]}  Kb4 {[%clk 0:00:36]} 52. Bd5 {[%clk 0:00:27]}  Bxe6 {[%clk 0:00:37]} 53. Bxe6 {[%clk 0:00:28]}  Kxa5 {[%clk 0:00:38]} 0-1
4,"Abdusattorov, Nodirbek","Ding, Liren",Classical,Draw,2023.01.25,1. e4 {[%clk 1:40:44]}  e5 {[%clk 1:40:54]} 2. Nf3 {[%clk 1:41:06]}  Nc6 {[%clk 1:41:20]} 3. Bb5 {[%clk 1:41:28]}  Nf6 {[%clk 1:41:46]} 4. O-O {[%clk 1:41:10]}  Nxe4 {[%clk 1:42:07]} 5. Re1 {[%clk 1:41:19]}  Nd6 {[%clk 1:42:29]} 6. Nxe5 {[%clk 1:41:41]}  Be7 {[%clk 1:42:53]} 7. Bf1 {[%clk 1:42:03]}  Nxe5 {[%clk 1:43:01]} 8. Rxe5 {[%clk 1:42:23]}  O-O {[%clk 1:43:26]} 9. Nc3 {[%clk 1:39:42]}  Bf6 {[%clk 1:43:23]} 10. Re1 {[%clk 1:39:24]}  Re8 {[%clk 1:43:42]} 11. Rxe8+ {[%clk 1:33:03]}  Nxe8 {[%clk 1:42:36]} 12. Nd5 {[%clk 1:33:25]}  Bg5 {[%clk 1:42:18]} 13. d4 {[%clk 1:33:07]}  Bxc1 {[%clk 1:41:46]} 14. Rxc1 {[%clk 1:33:08]}  c6 {[%clk 1:41:54]} 15. Ne3 {[%clk 1:33:15]}  d5 {[%clk 1:42:16]} 16. c4 {[%clk 1:33:40]}  dxc4 {[%clk 1:39:29]} 17. Bxc4 {[%clk 1:33:29]}  Bd7 {[%clk 1:39:47]} 18. d5 {[%clk 1:29:39]}  Rc8 {[%clk 1:25:36]} 19. dxc6 {[%clk 1:26:41]}  Bxc6 {[%clk 1:25:52]} 20. Qb3 {[%clk 1:21:49]}  Nd6 {[%clk 1:22:55]} 21. Rd1 {[%clk 1:22:12]}  Qf6 {[%clk 1:17:41]} 22. Bd5 {[%clk 1:22:27]}  h6 {[%clk 1:15:13]} 23. h3 {[%clk 1:17:32]}  Qe5 {[%clk 1:11:32]} 24. Kf1 {[%clk 1:11:44]}  Bb5+ {[%clk 1:10:30]} 25. Kg1 {[%clk 1:12:09]}  Bc6 {[%clk 1:10:57]} 26. Kf1 {[%clk 1:12:34]}  Bb5+ {[%clk 1:10:18]} 27. Kg1 {[%clk 1:12:58]} 1/2-1/2
5,"Abdusattorov, Nodirbek","Ding, Liren",Classical,Draw,2023.01.25,1. e4 {[%clk 1:40:44]}  e5 {[%clk 1:40:54]} 2. Nf3 {[%clk 1:41:06]}  Nc6 {[%clk 1:41:20]} 3. Bb5 {[%clk 1:41:28]}  Nf6 {[%clk 1:41:46]} 4. O-O {[%clk 1:41:10]}  Nxe4 {[%clk 1:42:07]} 5. Re1 {[%clk 1:41:19]}  Nd6 {[%clk 1:42:29]} 6. Nxe5 {[%clk 1:41:41]}  Be7 {[%clk 1:42:53]} 7. Bf1 {[%clk 1:42:03]}  Nxe5 {[%clk 1:43:01]} 8. Rxe5 {[%clk 1:42:23]}  O-O {[%clk 1:43:26]} 9. Nc3 {[%clk 1:39:42]}  Bf6 {[%clk 1:43:23]} 10. Re1 {[%clk 1:39:24]}  Re8 {[%clk 1:43:42]} 11. Rxe8+ {[%clk 1:33:03]}  Nxe8 {[%clk 1:42:36]} 12. Nd5 {[%clk 1:33:25]}  Bg5 {[%clk 1:42:18]} 13. d4 {[%clk 1:33:07]}  Bxc1 {[%clk 1:41:46]} 14. Rxc1 {[%clk 1:33:08]}  c6 {[%clk 1:41:54]} 15. Ne3 {[%clk 1:33:15]}  d5 {[%clk 1:42:16]} 16. c4 {[%clk 1:33:40]}  dxc4 {[%clk 1:39:29]} 17. Bxc4 {[%clk 1:33:29]}  Bd7 {[%clk 1:39:47]} 18. d5 {[%clk 1:29:39]}  Rc8 {[%clk 1:25:36]} 19. dxc6 {[%clk 1:26:41]}  Bxc6 {[%clk 1:25:52]} 20. Qb3 {[%clk 1:21:49]}  Nd6 {[%clk 1:22:55]} 21. Rd1 {[%clk 1:22:12]}  Qf6 {[%clk 1:17:41]} 22. Bd5 {[%clk 1:22:27]}  h6 {[%clk 1:15:13]} 23. h3 {[%clk 1:17:32]}  Qe5 {[%clk 1:11:32]} 24. Kf1 {[%clk 1:11:44]}  Bb5+ {[%clk 1:10:30]} 25. Kg1 {[%clk 1:12:09]}  Bc6 {[%clk 1:10:57]} 26. Kf1 {[%clk 1:12:34]}  Bb5+ {[%clk 1:10:18]} 27. Kg1 {[%clk 1:12:58]} 1/2-1/2
6,"Ding, Liren","Abdusattorov, Nodirbek",Classical,Draw,2024.01.19,1. d4 {[%clk 1:40:54]}  d5 {[%clk 1:40:43]} 2. c4 {[%clk 1:41:19]}  dxc4 {[%clk 1:41:07]} 3. Nf3 {[%clk 1:41:43]}  Nf6 {[%clk 1:41:14]} 4. e3 {[%clk 1:41:54]}  e6 {[%clk 1:41:18]} 5. Bxc4 {[%clk 1:42:18]}  c5 {[%clk 1:41:43]} 6. O-O {[%clk 1:42:42]}  a6 {[%clk 1:42:10]} 7. b3 {[%clk 1:42:58]}  b6 {[%clk 1:41:52]} 8. Ba3 {[%clk 1:36:34]}  Nbd7 {[%clk 1:42:09]} 9. d5 {[%clk 1:36:59]}  exd5 {[%clk 1:42:33]} 10. Bxd5 {[%clk 1:37:26]}  Rb8 {[%clk 1:42:54]} 11. Bb2 {[%clk 1:33:59]}  Be7 {[%clk 1:39:20]} 12. Nc3 {[%clk 1:34:02]}  b5 {[%clk 1:39:43]} 13. e4 {[%clk 1:32:53]}  O-O {[%clk 1:40:02]} 14. Re1 {[%clk 1:32:04]}  Nxd5 {[%clk 1:30:21]} 15. Nxd5 {[%clk 1:27:21]}  Bb7 {[%clk 1:27:43]} 16. Qc2 {[%clk 1:18:14]}  Bxd5 {[%clk 1:26:19]} 17. exd5 {[%clk 1:18:09]}  Bf6 {[%clk 1:23:59]} 18. d6 {[%clk 1:13:39]}  Bxb2 {[%clk 1:22:09]} 19. Qxb2 {[%clk 1:14:05]}  Qf6 {[%clk 1:22:25]} 20. Qxf6 {[%clk 1:07:15]}  Nxf6 {[%clk 1:22:41]} 21. Rac1 {[%clk 1:07:43]}  Rfd8 {[%clk 1:20:29]} 22. Rxc5 {[%clk 1:07:58]}  Rxd6 {[%clk 1:20:54]} 23. g3 {[%clk 1:06:03]}  Kf8 {[%clk 1:15:56]} 24. Kg2 {[%clk 1:05:21]}  Rbd8 {[%clk 1:15:29]} 25. a4 {[%clk 1:05:41]}  bxa4 {[%clk 1:15:42]} 26. bxa4 {[%clk 1:06:08]}  Rd5 {[%clk 1:15:25]} 27. Rc7 {[%clk 1:06:34]}  R8d7 {[%clk 1:15:28]} 28. Rc8+ {[%clk 1:06:59]}  Rd8 {[%clk 1:15:56]} 29. Rc7 {[%clk 1:07:23]}  R8d7 {[%clk 1:16:24]} 30. Rc8+ {[%clk 1:07:47]} 1/2-1/2
